area_cluster,make,segment,fuel_type,is_esc,is_adjustable_steering,is_tpms,is_parking_sensors,is_parking_camera,rear_brakes_type,transmission_type,gear_box,steering_type,is_front_fog_lights,is_rear_window_wiper,is_rear_window_washer,is_rear_window_defogger,is_brake_assist,is_power_door_locks,is_central_locking,is_power_steering,is_driver_seat_height_adjustable,is_day_night_rear_view_mirror,is_ecw,is_speed_alert,model
C8,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C8,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C18,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C9,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C5,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C10,4,B2,Diesel,No,Yes,No,Yes,No,Drum,Manual,5,Electric,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,M5
C8,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C2,2,A,Petrol,No,No,No,No,Yes,Drum,Automatic,5,Electric,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,M3
C9,1,B1,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,M8
C9,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C10,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C8,1,C1,Petrol,Yes,Yes,No,Yes,Yes,Drum,Automatic,5,Electric,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M2
C4,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C2,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C5,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C3,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C2,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C8,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C3,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C3,1,B2,Petrol,Yes,Yes,No,Yes,Yes,Drum,Automatic,5,Electric,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M7
C3,1,B1,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,M8
C14,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C5,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C2,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C9,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C14,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C8,2,A,Petrol,No,No,No,No,Yes,Drum,Automatic,5,Electric,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,M3
C14,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C14,1,B2,Petrol,Yes,Yes,No,Yes,Yes,Drum,Automatic,5,Electric,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M7
C12,1,B1,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,M8
C3,1,B1,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,M8
C11,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C8,1,B1,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,M8
C14,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C11,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C9,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C14,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C8,1,B2,Petrol,Yes,Yes,No,Yes,Yes,Drum,Automatic,5,Electric,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M7
C8,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C12,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C8,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C12,2,A,Petrol,No,No,No,No,Yes,Drum,Automatic,5,Electric,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,M3
C3,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C8,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C6,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C8,5,C1,Diesel,No,Yes,No,Yes,Yes,Drum,Manual,5,Electric,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M9
C5,5,C1,Diesel,No,Yes,No,Yes,Yes,Drum,Manual,5,Electric,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M9
C5,1,B1,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,M8
C5,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C2,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C6,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C10,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C11,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C7,1,B2,Petrol,Yes,Yes,No,Yes,Yes,Drum,Automatic,5,Electric,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M7
C8,1,C1,Petrol,Yes,Yes,No,Yes,Yes,Drum,Automatic,5,Electric,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M2
C5,1,B1,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,M8
C5,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C8,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C11,1,B1,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,M8
C12,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C8,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C14,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C3,1,C1,Petrol,Yes,Yes,No,Yes,Yes,Drum,Automatic,5,Electric,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M2
C2,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C2,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C5,1,B1,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,M8
C2,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C5,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C8,4,B2,Diesel,No,Yes,No,Yes,No,Drum,Manual,5,Electric,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,M5
C22,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C9,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C8,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C3,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C3,1,C1,Petrol,Yes,Yes,No,Yes,Yes,Drum,Automatic,5,Electric,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M2
C5,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C13,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C13,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C14,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C8,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C8,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C1,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C12,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C8,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C8,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C8,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C10,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C8,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C2,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C8,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C7,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C14,1,B1,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,M8
C1,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C5,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C8,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C5,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C12,1,B1,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,M8
C8,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C7,1,B1,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,M8
C14,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C13,3,C2,Diesel,Yes,Yes,Yes,Yes,Yes,Disc,Automatic,6,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,M4
C5,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C8,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C8,1,B2,Petrol,Yes,Yes,No,Yes,Yes,Drum,Automatic,5,Electric,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M7
C2,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C2,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C2,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C3,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C17,2,A,Petrol,No,No,No,No,Yes,Drum,Automatic,5,Electric,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,M3
C7,1,C1,Petrol,Yes,Yes,No,Yes,Yes,Drum,Automatic,5,Electric,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M2
C9,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
C3,1,A,CNG,No,No,No,Yes,No,Drum,Manual,5,Power,No,No,No,No,No,No,No,Yes,No,No,No,Yes,M1
C14,1,B2,Petrol,No,Yes,No,Yes,No,Drum,Manual,5,Electric,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,M6
